Mini,Mwd,cooling_age_yr,logTe,logL,Umag,Bmag,Vmag,Rmag,Imag
5.2138835496307685,0.9623133069097538,895049713.3643196,4.104429934043458,-2.77019695481577,11.81844707308723,12.579777364999302,12.438249707593416,12.479893941510454,12.49924827778834
5.321059920494871,0.973995531333941,900206662.5285984,4.109305249207622,-2.7636727683251547,11.818199540859563,12.58500902066618,12.446224201977975,12.491315049481267,12.51420586261021
5.428236291358974,0.9856777557581282,904809273.8612316,4.114268207165338,-2.756751787873244,11.817007778801901,12.589475513229587,12.453498159060004,12.502128685556025,12.528649040942492
5.535412662223077,0.9973599801823154,909199606.1818979,4.119267824987278,-2.7496604529408395,11.815234887046685,12.593451776630857,12.460322331636233,12.5125432011427,12.54274376280442
5.642589033087179,1.0090422046065024,913237060.9152478,4.1254703298302005,-2.7394984207026534,11.816844024238849,12.601844418580798,12.472584261771122,12.52809934618553,12.561616758610043
5.749765403951281,1.0207244290306896,917001272.38201,4.132067731877971,-2.7282713868786272,11.819418189294478,12.611475528146373,12.486351759740598,12.545113683716322,12.581896975952175
5.856941774815384,1.0324066534548768,920599925.4527922,4.138712625497895,-2.716860668375636,11.82187466501235,12.621004433110162,12.49994344100175,12.56203988282305,12.602193609360103
5.964118145679487,1.044088877879064,923827942.1521518,4.1454324022840785,-2.705154248575369,11.8240669669382,12.63030816433767,12.513249352961598,12.578791062698537,12.622439731568344
6.07129451654359,1.0557711023032512,926924723.5614848,4.1521855346964,-2.693319424842373,11.826233058257996,12.63951684525595,12.526483754641454,12.595461850397701,12.642610347644565
6.178470887407692,1.0674533267274384,929835312.1207802,4.1589782474322945,-2.6813302605877647,11.828332044878653,12.64859830365446,12.539619530425194,12.612030275166385,12.66268688732007
6.285647258271794,1.0791355511516256,932442265.2473863,4.165824408345293,-2.669129268675278,11.830278224148863,12.657483030546533,12.552598337172395,12.628448434886678,12.682628650766535
