# File generated by CMD 3.9 (http://stev.oapd.inaf.it/cmd) on Sun Aug  2 21:14:37 UTC 2026
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.0152 0.01508 7.70000 0.5943084955 2.3172212588    0.594 -1.169  3.5553  4.554    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.88e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.692 12.010 10.678 9.280 8.241 7.089 5.939 5.266 5.041
0.0152 0.01508 7.70000 0.6000000238 2.3211213258    0.600 -1.153  3.5576  4.551    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.08e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.653 11.945 10.610 9.213 8.181 7.044 5.906 5.231 5.008
0.0152 0.01508 7.70000 0.6210692525 2.3348461956    0.621 -1.094  3.5671  4.546    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.87e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.718e-03 -1.000 1.527e-02 7.505 11.692 10.339 8.946 7.942 6.875 5.785 5.102 4.889
0.0152 0.01508 7.70000 0.6499999762 2.3520353107    0.650 -1.005  3.5827  4.539    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.29e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.407e-04 6.718e-03 -1.000 1.527e-02 7.282 11.312 9.929 8.547 7.583 6.626 5.605 4.908 4.716
0.0152 0.01508 7.70000 0.6601079106 2.3576340158    0.660 -0.970  3.5896  4.538    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.91e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.407e-04 6.718e-03 -1.000 1.527e-02 7.195 11.157 9.760 8.387 7.440 6.529 5.536 4.833 4.651
0.0152 0.01508 7.70000 0.6793846488 2.3677820832    0.679 -0.896  3.6048  4.538    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.04e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.407e-04 6.718e-03 -1.000 1.527e-02 7.011 10.831 9.402 8.063 7.151 6.329 5.388 4.678 4.521
0.0152 0.01508 7.70000 0.6984785199 2.3772015040    0.699 -0.820  3.6213  4.539    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.22e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.407e-04 6.718e-03 -1.000 1.527e-02 6.820 10.465 9.015 7.724 6.852 6.123 5.234 4.531 4.398
0.0152 0.01508 7.70000 0.7000000477 2.3779267258    0.700 -0.814  3.6226  4.539    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.24e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.407e-04 6.718e-03 -1.000 1.527e-02 6.805 10.432 8.982 7.696 6.828 6.106 5.222 4.521 4.390
0.0152 0.01508 7.70000 0.7113795877 2.3832377500    0.711 -0.758  3.6388  4.556    0  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -1.37e-14      0.00 7.092e-01 2.755e-01 2.737e-03 7.405e-04 6.718e-03 -1.000 1.527e-02 6.666 10.045 8.626 7.408 6.588 5.957 5.125 4.441 4.333
0.0152 0.01508 7.70000 0.7226088643 2.3882905159    0.723 -0.705  3.6538  4.569    0  0.000  0.542     0.00     0.00     0.00     0.00     0.00 -1 -1.51e-14      0.00 7.092e-01 2.755e-01 2.729e-03 7.403e-04 6.718e-03 -1.000 1.527e-02 6.533 9.595 8.292 7.143 6.375 5.813 5.034 4.389 4.294
0.0152 0.01508 7.70000 0.7328510284 2.3927441762    0.733 -0.660  3.6664  4.580    0  0.000  0.540     0.00     0.00     0.00     0.00     0.00 -1 -1.64e-14      0.00 7.092e-01 2.755e-01 2.721e-03 7.401e-04 6.719e-03 -1.000 1.527e-02 6.420 9.188 8.013 6.927 6.207 5.690 4.957 4.352 4.265
0.0152 0.01508 7.70000 0.7431110740 2.3970643535    0.743 -0.617  3.6778  4.589    0  0.000  0.539     0.00     0.00     0.00     0.00     0.00 -1 -1.79e-14      0.00 7.092e-01 2.755e-01 2.714e-03 7.399e-04 6.719e-03 -1.000 1.527e-02 6.312 8.814 7.765 6.735 6.061 5.575 4.885 4.319 4.238
0.0152 0.01508 7.70000 0.7500000000 2.3998889087    0.750 -0.599  3.6829  4.596    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.84e-14      0.00 7.092e-01 2.755e-01 2.709e-03 7.397e-04 6.719e-03 -1.000 1.527e-02 6.268 8.661 7.663 6.657 6.002 5.529 4.857 4.307 4.228
0.0152 0.01508 7.70000 0.7535536885 2.4013227714    0.754 -0.590  3.6847  4.596    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.88e-14      0.00 7.092e-01 2.755e-01 2.709e-03 7.397e-04 6.719e-03 -1.000 1.527e-02 6.244 8.601 7.620 6.622 5.974 5.504 4.838 4.294 4.216
0.0152 0.01508 7.70000 0.8000000119 2.4187244405    0.800 -0.494  3.7034  4.601    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -2.27e-14      0.00 7.092e-01 2.755e-01 2.709e-03 7.397e-04 6.718e-03 -1.000 1.527e-02 6.004 7.982 7.192 6.275 5.694 5.264 4.662 4.173 4.104
0.0152 0.01508 7.70000 0.8210594058 2.4258726909    0.821 -0.457  3.7111  4.606    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -2.44e-14      0.00 7.093e-01 2.755e-01 2.709e-03 7.397e-04 6.718e-03 -1.000 1.525e-02 5.912 7.745 7.031 6.144 5.589 5.174 4.596 4.131 4.064
0.0152 0.01508 7.70000 0.8468365073 2.4340681910    0.846 -0.416  3.7184  4.607    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -2.63e-14      0.00 7.093e-01 2.755e-01 2.709e-03 7.396e-04 6.718e-03 -1.000 1.525e-02 5.810 7.510 6.867 6.010 5.478 5.075 4.522 4.076 4.013
0.0152 0.01508 7.70000 0.8500000238 2.4350346840    0.850 -0.412  3.7193  4.608    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -2.65e-14      0.00 7.093e-01 2.755e-01 2.709e-03 7.396e-04 6.718e-03 -1.000 1.526e-02 5.799 7.482 6.849 5.995 5.466 5.065 4.514 4.071 4.008
0.0152 0.01508 7.70000 0.8516197205 2.4355263261    0.851 -0.410  3.7198  4.609    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -2.66e-14      0.00 7.093e-01 2.754e-01 2.709e-03 7.396e-04 6.718e-03 -1.000 1.526e-02 5.794 7.469 6.840 5.988 5.460 5.060 4.510 4.068 4.006
